source,European Medicines Agency / European Surveillance of Veterinary Antimicrobial Consumption / 2020. Sales of veterinary antimicrobial agents in 31 European countries in 2018. (EMA/24309/2020)
link,https://www.ema.europa.eu/en/documents/report/sales-veterinary-antimicrobial-agents-31-european-countries-2018-trends-2010-2018-tenth-esvac-report_en.pdf
units,mg/PCU
Country,Tetracyclines,Amphenicols,Penicillins,Cephalosporins (1 and 2 gen),Cephalosporins (3 and 4 gen),Sulfonamides,Trimethoprim,Macrolides,Lincosamides,Fluoroquinolones,Other quinolones,Aminoglycosides,Polymixins,Pleuromutilins,Others,Total
Cyprus,155.2,2.3,83.0,0.04,0.4,78.2,15.6,26.2,50.0,3.1,0.4,8.3,12.8,29.6,1.1,466.3
Italy,72.6,5.6,68.7,0.1,0.4,31.9,3.5,17.1,19.1,2.3,2.0,8.8,2.7,7.1,2.1,244.0
Spain,62.3,5.6,68.7,0.03,0.4,9.4,1.6,10.0,19.3,5.6,0,22.2,3.3,4.9,6.1,219.2
Portugal,63.7,2.0,36.5,0.03,0.4,7.3,1.4,27.9,4.7,7.6,0.01,10.6,12.6,10.2,1.5,186.6
Hungary,72.5,4.8,49.2,0.1,0.5,6.8,1.4,6.8,2.8,10.8,0.1,3.0,10.1,11.3,0.3,180.6
Poland,47.3,1.8,55.2,0.1,0.3,6.6,1.3,20.3,1.4,10.9,0.01,4.8,7.4,9.2,0.9,167.4
Malta,39.0,1.3,7.9,0.2,0.2,13.0,1.9,4.9,0.4,4.6,0,5.4,1.8,43.3,27.0,150.9
Bulgaria,41.5,4.9,22.1,0.02,0.1,8.5,1.0,17.8,5.9,6.0,0,5.2,3.7,2.1,0.9,119.6
Belgium,28.9,1.9,42.8,0.1,0.1,17.6,3.5,7.1,2.6,0.2,0.3,1.6,2.0,1.1,3.1,113.1
Greece,48.9,0.7,15.0,0.01,0.1,6.3,0.8,4.1,0.4,2.2,2.5,6.5,1.6,1.2,0.7,90.9
Germany,22.2,0.7,34.9,0.1,0.2,7.3,0.9,6.9,1.2,0.9,0,2.4,8.6,1.2,0.9,88.4
Romania,25.0,3.2,12.5,0.01,0.2,1.8,0.3,9.9,1.5,6.0,0.01,10.1,6.4,5.2,0.6,82.7
Croatia,19.7,1.8,17.8,0.03,0.3,6.8,0.9,9.1,0.1,2.4,0.9,3.6,2.7,0.3,0.3,66.8
France,25.3,0.8,9.0,0.2,0.02,11.7,2.1,4.4,0.4,0.1,0.4,6.9,1.8,0.5,0.5,64.2
Netherlands,21.7,1.4,13.2,0.02,0.01,8.7,1.6,8.0,0.03,0.1,1.1,0.7,0.4,0.4,0.03,57.5
Czechia,16.1,0.6,17.6,0.1,0.5,9.5,1.0,3.0,0.2,1.8,0.01,2.8,0.7,2.8,0.4,57.0
Estonia,11.2,0.5,18.3,0.1,0.9,3.2,0.6,3.0,0.7,1.2,0,3.9,0.8,7.5,1.2,53.3
Austria,26.9,0.4,9.5,0.04,0.2,4.5,0.9,3.5,0.1,0.5,0,1.3,1.9,0.3,0.1,50.1
Slovakia,19.3,0.4,9.2,0.2,0.4,5.8,0.8,1.8,0.2,3.0,0.02,1.8,1.4,3.8,1.3,49.3
Ireland,18.3,1.5,11.0,0.4,0.2,7.4,0.5,3.3,0.1,0.4,0,2.6,0,0,0.4,46.0
Slovenia,4.2,0.9,27.7,0.04,0.2,2.4,0.6,0.3,0.01,2.8,0,3.0,0.2,0.9,0.1,43.2
Switzerland,8.9,0.6,11.1,0.1,0.2,12.6,1.0,1.8,0,0.2,0,3.4,0.3,0,0.1,40.2
Denmark,6.6,0.6,11.5,0.03,0.01,3.9,0.8,5.6,0.8,0.01,0.4,3.6,0.01,3.5,0.9,38.2
Latvia,9.4,0.1,9.0,0.2,0.4,1.3,0.3,4.8,0.1,0.9,0.01,4.2,1.9,3.2,0.3,36.1
Luxembourg,12.8,1.0,6.0,0.1,0.6,5.3,1.0,1.1,0.7,0.8,0,2.9,0.6,0.2,0.5,33.6
Lithuania,6.3,0.6,7.7,0.2,0.3,3.1,0.7,6.9,0.4,2.3,0.1,1.7,0.2,2.0,0.6,33.1
United Kingdom,11.9,0.6,7.0,0.1,0.1,2.7,0.5,2.3,0.4,0.1,0,2.1,0.01,1.3,0.4,29.5
Finland,4.5,0.2,8.9,0.02,0.01,3.1,0.6,0.8,0.3,0.1,0,0.1,0,0.02,0,18.7
Sweden,0.7,0,8.0,0,0.01,2.0,0.4,0.6,0.01,0,0.1,0.4,0,0,0.3,12.5
Iceland,0.3,0,3.6,0,0.01,0.3,0.04,0,0,0.01,0,0.7,0,0,0,4.9
Norway,0.1,0.5,1.5,0,0.01,0.6,0.1,0.01,0.01,0.01,0.03,0.1,0,0.02,0.01,2.9
