Time,GMSL (yearly)
1993.500,    -6.0
1994.500,    -4.7
1995.500,    -1.8
1996.500,     3.8
1997.500,     8.6
1998.500,    14.4
1999.500,    14.6
2000.500,    17.5
2001.500,    22.1
2002.500,    25.9
2003.500,    27.9
2004.500,    30.1
2005.500,    33.9
2006.500,    35.5
2007.500,    35.7
2008.500,    41.1
2009.500,    45.6
2010.500,    47.6
2011.500,    46.6
2012.500,    57.1
2013.500,    60.5
2014.500,    63.0
2015.500,    73.1
2016.500,    77.9
2017.500,    79.3
2018.500,    83.0
